Nama Makanan,Umur,Status Gizi,Bahan-bahan,Cara Membuat,Nilai Gizi per Resep,Catatan,Nama Gambar,Nama Gambar Fix
Bubur Singkong Kukuruyuk Saus Jeruk,6-8 Bulan,Normal,"60 gr singkong putih; rebus dan haluskan 20 gr (2 sdm datar); daging ikan kembung, cincang halus 10 gr; daging ayam 5 gr (1 sdt); minyak kelapa 100 cc (1/2 gelas belimbing); kaldu ayam 10 gr (1 sdm); sari jeruk manis (perasan jeruk) 20 gr; bayam segar, potong halus;","2,3; Kaldu, Bubur; bahan yang bisa digunakan tulang ayam/ceker ayam/kepala dan tulang ikan/potongan wortel, daun bawang, seledri, bawang Bombay/kulit udang; tambahkan air secukupnya, didihkan; setelah mendidih, api dikecilkan dan biarkan (+-) 1-2 jam; rebus air kaldu, masukkan singkong putih, daging ikan, daging ayam dan minyak kelapa, aduk-aduk hingga setengah matang; masukkan daun bayam, aduk hingga matang. Jika airnya mengental dapat ditambahkan air matang; angkat, lalu saring halus atau diblender. Sebelum disajikan tambahkan saus jeruk;","energi;187kkal;Karbo;6 gr;protein;7,9 gr;Lemak;7,8 gr;",untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan,bubur_singkong_kukuruyuk_saus_jeruk.png,menu_bubur_singkong_kukuruyuk_saus_jeruk.png
Bubur Ikan Jagung,6-8 Bulan,Normal,"15 gr (1 1/2 sdm) tepung jagung; 10 gr (1 sdm) ikan, haluskan; 5 gr (1 sdt) tempe, haluskan; 25 gr pisang kepok, potong kecil; 20 gr daun kangkung, iris tipis; 1 sdt minyak kelapa; air matang secukupnya;","ikan, tempe, pisang, rebus hingga matang; sesaat akan matang, masukkan daun kangkung, angkat lalu saring; cairkan tepung jagung dengan sedikit air, lalu masak dengan air dan tambahkan minyak; setelah matang dan kental, masukkan hasil saringan nomor 2, aduk hingga rata, siap dihidangkan;","Energi;190,6 kkal;Karbo;6 gr;Protein;7,5 gr;Lemak;6,8 gr",untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan,bubur_ikan_jagung.png,menu_bubur_ikan_jagung.png
Bubur Hati Ayam dan Wortel,6-8 Bulan,Lebih,nasi 50 gram; hati Ayam 30 gram; tahu 15 gram; wortel parut 1 SDM; minyak goreng 1 sdt; bawang putih 1 siung; bawang merah 1 siung; daun salam 1 lembar;,tuangkan minyak tunggu sampe panas; masukan bawang putih dan bawang merah yang sudah di haluskan; masukan daun salam tumis sampe matang; masukan Hati ayam yang sudah diparut; masukan air secukupnya; masukan nasi; masukan wortel yg sudah diparut tambahkan garam seckupnya; tunggu sampe matang; setelah matang angkat lalu saring sesuai tekstur;,"Energi;195,6 kkal;Karbo;7 gr;Protein;9,9 gr;Lemak;10,5 gr",Satu resep menghasilkan 2 porsi; Untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan;,bubur_hati_ayam_dan_wortel.png,menu_bubur_hati_ayam_dan_wortel.png
Bubur Susu Labu Kuning,6-8 Bulan,Normal,"100 gram labu kuning, kukus haluskan; 1/2 sdm tepung beras; 1 sdm susu formula lanjutan sesuai usia, larutkan dengan 60 ml air matang;","larutkan tepung beras dengan air, aduk rata. Masak dengan air mendidih dan kental; masukkan labu kuning, didihkan kembali. Angkat, kemudian tuang larutan susu formula, aduk rata; tuang kedalam mangkok saji, dan bubur susu labu kuning siap disajikan;","Energi;137,4 kkal;Karbo;6 gr;Protein;4,7 gr;Lemak;3,5 gr;",untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan,bubur_susu_labu_kuning.jpg,menu_bubur_susu_labu_kuning.jpg
Bubur Susu Daun Bayam,6-8 Bulan,Normal,"20 gr bayam, bersihkan; 15 gr susu formula lanjutan sesuai usia; 15 gr tepung beras; 100 ml air;","kukus bayam yang sudah di bersihkan tadi. Kemudian kukus higga matang. Lalu blender dan ambil sarinya. Sisihkan; masak tepung beras dengan air hingga mengental dengan api kecil. Aduk rata. Angkat. Sisihkan; campur sari bayam dengan bubur tepung. Kemudian tambahkan susu, kemudian aduk rata. Hidangkan hangat;","Energi;131,1 kkal;Karbo;6 gr;Protein;5 gr;Lemak;3 gr;",untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan,bubur_susu_daun_bayam.png,menu_bubur_susu_daun_bayam.png
Nasi Tim Ikan Telur Puyuh Wortel,9-11 Bulan,Lebih,"25 gr beras; 20 gr ikan segar, haluskan; 1 butir telur puyuh; 15 gr wortel; 10 gr tomat; 5 gr (1 sdt) minyak kelapa; 5 cc (1/3 gelas belimbing) kaldu; 50 gr pepaya, haluskan;","masukkan beras, ikan, telur puyuh, minyak kelapa ke dalam mangkok tim; tambahkan air kaldu, tim hingga matang; masukkan kangkung dan tomat, tim hingga matang; angkat, sajikan dengan saos pepaya;","Energi;202,7 kkal;Karbo;9,2 gr;Protein;7,5 gr;Lemak;7,3 gr;",untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan,nasi_tim_ikan_telur_puyuh_wortel.jpg,menu_nasi_tim_ikan_telur_puyuh_wortel.jpg
Nasi Tim Ayam Lele Cincang + Sari Jeruk,9-11 Bulan,Normal,20 gr beras; 15 gr (1.5 sdm) daging ayam cincang; 10 gr (1 sdm) daging ikan lele; 10 g r(1 sdm) wortel; 5 ml (1 sdt) minyak goreng; 1 buah kecil (50 g) jeruk; 1.5 sdm bawang bombay (iris halus); 1 siung bawang merah dihaluskan; 1 siung bawang putih dihaluskan;,"umis bumbu halus sampai harum dan masukkan irisan bawang bombay hingga layu;  tambahkan daging ayam gilling,  daging lele dan irisan wortel dan air secukupnya, serta aduk rata hingga warna daging ayam cincang berubah dan wortel matang dan tambahkan garam secukupnya; masak hingga kuah agak mengental dan matang. (jangan lupa koreksi rasa) Masukan tumis ke dalam wadah tahan panas kemudian diatas masukan nasi; sajikan bersama buah jeruk;","Energi;199,6 kkal;Karbo;8,1 gr;Protein;7,6 gr;Lemak;8,3 gr;",untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan,nasi_tim_ayam_lele_cincang_sari_jeruk.png,menu_nasi_tim_ayam_lele_cincang_sari_jeruk.png
Nasi Tim Ikan Telur  Sayuran,9-11 Bulan,Normal,"50 gr (5 sdm) nasi; 20 gr (2 butir) telur puyuh, kocok;  7,5 gr (1 sdm) ikan kembung; 10 gr (1 sdm) sawi hijau, iris; 20 gr (2 sdm) tomat, cincang; 300 ml kaldu ayam; 2,5 ml (1 sdt) minyak kelapa;","masak kaldu, nasi, minyak kelapa, dan ikan kembung hingga lunak dan menjadi bubur; masukkan sawi dan tomat. Masak hingga matang dan lunak; masukkan telur yang sudah dikocok, aduk perlahan hingga rata dan matang. Angkat dan sajikan;","Energi;186,3 kkal;Karbo;8,1 gr;Protein;7,8 gr;Lemak;6,5 gr;",untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan,nasi_tim_ikan_telur_sayuran.png,menu_nasi_tim_ikan_telur_sayuran.png
Nasi Tim Salmon,9-11 Bulan,Normal,25 gram beras putih;  500 ml air putih; 30 gram daging ikan salmon tanpa tulang (fillet); 50 gram tomat potong kecil-kecil; 1 sendok teh mentega;,"siapkan panci kemudian beras direbus sampai matang; masukkan daging ikan salmon hingga mendidih dan menjadi bubur; tambahkan tomat kemudian aduk-aduk; tambahkan mentega lalu aduk hingga bubur mengental, kemudian sisihkan;","Energi;186,3 kkal;Karbo;8,3 gr;Protein;8,5 gr;Lemak;7,2 gr;",untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan,nasi_tim_salmon.jpg,menu_nasi_tim_salmon.jpg
Nasi Tim Hati Ayam,9-11 Bulan,Normal,30 gram Bayam Merah; 2 sendok makan Beras Merah; 1 buah Hati Ayam; 750 ml Kaldu Ayam; 1 buah Tahu Putih;,"pertama cuci bersih beras merah; kemudian potong dadu hati ayam; selanjutnya potong dadu tahu putih; kemudian cuci bersih bayam merah dan iris halus; lalu campur beras merah, kaldu kaki ayam, hati ayam, dan tahu. rebus sambil diaduk-aduk hingga matang; masukkan bayam, didihkan sebentar; dinginkan, kemudian hidangkan;","Energi;147,31kkal;Karbo;8,1 gr;Protein;11,6 gr;Lemak;4,1 gr;",untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan,nasi_tim_hati_ayam.jpg,menu_nasi_tim_hati_ayam.jpg
Tim Ikan Menado,12-23 Bulan,Lebih,"60 gr jagung muda pipil, tumbuk kasar; 60 labu kuning, potong dadu; 30 ikan segar, cincang; 10 gr (1 sdm) telur ayam; 15 gr daun kangkung, iris tipis; 10 gr tomat, buang kulit; 50 pisang ambon, potong tipis; 5 gr (1 sdt) minyak kelapa; 100 cc (1/3 gelas belimbing) kaldu ayam;","letakkan jagung muda pipil, labu kuning, ikan segar, telur ayam pada mangkok tim; tambahkan air kaldu, tim hingga matang; masukkan pisang ambon, daun kangkung, tomat, minyak kelapa, tim hingga matang; angkat, siap dihidangkan;","Energi;234,3 kkal;Karbo;12,4 gr;Protein;10,7 gr;Lemak;8,5 gr;",untuk memenuhi kebutuhan dalam sehari perlu ditambahkan 1-2 kali selingan,tim_ikan_menado.jpg,menu_tim_ikan_menado.jpg
