"Umur (bulan)","Panjang Badan (cm)","","","","","",""
"","-3 SD","-2 SD","-1 SD","Median","+1 SD","+2 SD","+3 SD"
"0","44.2","46.1","48.0","49.9","51.8","53.7","55.6"
"1","48.9","50.8","52.8","54.7","56.7","58.6","60.6"
"2","52.4","54.4","56.4","58.4","60.4","62.4","64.4"
"3","55.3","57.3","59.4","61.4","63.5","65.5","67.6"
"4","57.6","59.7","61.8","63.9","66.0","68.0","70.1"
"5","59.6","61.7","63.8","65.9","68.0","70.1","72.2"
"6","61.2","63.3","65.5","67.6","69.8","71.9","74.0"
"7","62.7","64.8","67.0","69.2","71.3","73.5","75.7"
"8","64.0","66.2","68.4","70.6","72.8","75.0","77.2"
"9","65.2","67.5","69.7","72.0","74.2","76.5","78.7"
"10","66.4","68.7","71.0","73.3","75.6","77.9","80.1"
"11","67.6","69.9","72.2","74.5","76.9","79.2","81.5"
"12","68.6","71.0","73.4","75.7","78.1","80.5","82.9"
"13","69.6","72.1","74.5","76.9","79.3","81.8","84.2"
"14","70.6","73.1","75.6","78.0","80.5","83.0","85.5"
"15","71.6","74.1","76.6","79.1","81.7","84.2","86.7"
"16","72.5","75.0","77.6","80.2","82.8","85.4","88.0"
"17","73.3","76.0","78.6","81.2","83.9","86.5","89.2"
"18","74.2","76.9","79.6","82.3","85.0","87.7","90.4"
"19","75.0","77.7","80.5","83.2","86.0","88.8","91.5"
